Bet Number,Bet Amount,Wallet Balance
1,74.58239999999999,7458.24
2,7.38366,7383.66
3,7.3762799999999995,7376.28
4,7.3689,7368.9
5,7.36153,7361.53
6,73.5417,7354.17
7,7.28063,7280.63
8,7.273350000000001,7273.35
9,7.26608,7266.08
10,7.25881,7258.81
11,72.5155,7251.55
12,7.17903,7179.03
13,7.171850000000001,7171.85
14,7.164680000000001,7164.68
15,7.157520000000001,7157.52
16,71.50359999999999,7150.36
17,7.07886,7078.86
18,7.0717799999999995,7071.78
19,7.06471,7064.71
20,7.05765,7057.65
21,70.5059,7050.59
22,6.98008,6980.08
23,6.9731000000000005,6973.1
24,6.966130000000001,6966.13
25,6.95916,6959.16
26,69.522,6952.2
27,6.882680000000001,6882.68
28,6.8758,6875.8
29,6.86892,6868.92
30,6.86205,6862.05
31,68.5519,6855.19
32,6.78664,6786.64
33,6.779850000000001,6779.85
34,6.77307,6773.07
35,6.7663,6766.3
36,67.5953,6759.53
37,6.69193,6691.93
38,6.68524,6685.24
39,6.67855,6678.55
40,6.67187,6671.87
41,66.652,6665.2
42,6.59855,6598.55
43,6.59195,6591.95
44,6.58536,6585.36
45,6.5787700000000005,6578.77
46,65.72189999999999,6572.19
47,6.50647,6506.47
48,6.49996,6499.96
49,6.49346,6493.46
50,6.48697,6486.97
51,64.8048,6480.48
52,6.41568,6415.68
53,6.409260000000001,6409.26
54,6.402850000000001,6402.85
55,6.39645,6396.45
56,64.27340000000001,6427.34
57,6.36307,6363.07
58,6.3567100000000005,6356.71
59,6.350350000000001,6350.35
60,6.344,6344.0
61,63.3766,6337.66
62,6.27428,6274.28
63,6.2716899999999995,6271.69
64,6.28386,6283.86
65,6.31435,6314.35
66,63.080400000000004,6308.04
67,6.24496,6244.96
68,6.246,6246.0
